0.091, 0.000, 181.099, -659.780, 0.000, 183.650, 0.000, 0.311, -0.046
0.273, 0.000, 183.650, -690.915, 0.184, 183.655, 10.000, 0.306, -0.046
0.457, 0.000, 184.925, -549.609, 0.367, 183.670, 20.000, 0.283, -0.046
0.643, 0.000, 186.200, -278.972, 0.551, 183.695, 30.000, 0.272, -0.047
0.825, 0.000, 177.273, -190.356, 0.735, 183.730, 40.000, 0.262, -0.047
1.000, 0.000, 173.447, 451.509, 0.918, 183.775, 50.000, 0.343, -0.047
1.176, 0.000, 178.548, 583.235, 1.102, 183.830, 60.000, 0.379, -0.047
1.353, 0.000, 175.998, 441.929, 1.286, 183.895, 70.000, 0.335, -0.047
1.527, 0.000, 172.171, 441.929, 1.470, 183.970, 80.000, 0.360, -0.047
1.703, 0.000, 179.824, 29.986, 1.654, 184.055, 90.000, 0.396, -0.047
1.886, 0.000, 184.925, -171.196, 1.838, 184.150, 100.000, 0.330, -0.047
2.072, 0.000, 187.476, -350.822, 2.022, 184.255, 110.000, 0.285, -0.047
2.258, 0.000, 184.925, -288.552, 2.207, 184.370, 120.000, 0.264, -0.047
2.443, 0.000, 184.925, -223.886, 2.391, 184.495, 130.000, 0.288, -0.047
2.628, 0.001, 184.925, -235.862, 2.576, 184.630, 140.000, 0.290, -0.047
2.809, 0.001, 177.273, -233.467, 2.760, 184.775, 150.000, 0.292, -0.047
2.985, 0.001, 174.722, 128.181, 2.945, 184.930, 160.000, 0.363, -0.047
3.160, 0.001, 174.722, 446.719, 3.130, 185.095, 170.000, 0.389, -0.047
3.336, 0.001, 177.273, 176.082, 3.315, 185.270, 180.000, 0.392, -0.047
3.514, 0.001, 179.824, -113.716, 3.501, 185.455, 190.000, 0.372, -0.047
3.695, 0.001, 182.374, -554.399, 3.686, 185.650, 200.000, 0.352, -0.047
3.880, 0.001, 186.200, -700.495, 3.872, 185.855, 210.000, 0.332, -0.047
4.066, 0.001, 186.200, -669.360, 4.058, 186.070, 220.000, 0.301, -0.047
4.254, 0.001, 190.026, -540.029, 4.244, 186.295, 230.000, 0.303, -0.047
4.441, 0.001, 183.650, -346.032, 4.431, 186.530, 240.000, 0.272, -0.047
4.625, 0.001, 184.925, -283.762, 4.617, 186.775, 250.000, 0.332, -0.047
4.807, 0.001, 178.548, 492.224, 4.804, 187.030, 260.000, 0.324, -0.047
4.986, 0.001, 179.824, 679.036, 4.991, 187.295, 270.000, 0.385, -0.047
5.165, 0.001, 177.273, 597.605, 5.179, 187.570, 280.000, 0.377, -0.047
5.342, 0.001, 177.273, 631.135, 5.366, 187.855, 290.000, 0.405, -0.047
5.524, 0.001, 186.200, 274.278, 5.554, 188.150, 300.000, 0.409, -0.047
5.712, 0.001, 190.026, 94.651, 5.743, 188.455, 310.000, 0.333, -0.047
5.900, 0.001, 187.476, -221.491, 5.931, 188.770, 320.000, 0.302, -0.047
6.090, 0.001, 192.577, -302.922, 6.120, 189.095, 330.000, 0.329, -0.046
6.284, 0.001, 193.852, -233.467, 6.310, 189.430, 340.000, 0.287, -0.046
6.474, 0.001, 186.200, -197.541, 6.499, 189.775, 350.000, 0.279, -0.046
6.660, 0.001, 187.476, -247.837, 6.689, 190.130, 360.000, 0.352, -0.047
6.847, 0.001, 186.200, 252.722, 6.879, 190.495, 370.000, 0.345, -0.047
7.034, 0.001, 187.476, 499.409, 7.070, 190.870, 380.000, 0.361, -0.047
7.217, 0.001, 177.273, 264.698, 7.261, 191.255, 390.000, 0.354, -0.047
7.396, 0.001, 182.374, -58.630, 7.453, 191.650, 400.000, 0.452, -0.047
7.581, 0.001, 187.476, -621.460, 7.644, 192.055, 410.000, 0.411, -0.047
7.770, 0.001, 190.026, -542.424, 7.837, 192.470, 420.000, 0.371, -0.047
7.963, 0.001, 195.128, -480.154, 8.029, 192.895, 430.000, 0.353, -0.046
8.155, 0.001, 188.751, -168.801, 8.223, 193.330, 440.000, 0.312, -0.046
8.342, 0.001, 186.200, 396.424, 8.416, 193.775, 450.000, 0.375, -0.045
8.526, 0.001, 182.374, 662.271, 8.610, 194.230, 460.000, 0.403, -0.045
8.704, 0.001, 173.447, 1244.261, 8.805, 194.695, 470.000, 0.444, -0.046
8.876, 0.001, 169.621, 1426.282, 8.999, 195.170, 480.000, 0.531, -0.046
9.047, 0.001, 172.171, 1306.531, 9.195, 195.655, 490.000, 0.573, -0.047
9.221, 0.001, 175.998, 1095.769, 9.391, 196.150, 500.000, 0.558, -0.047
9.397, 0.001, 177.273, 822.737, 9.587, 196.655, 510.000, 0.531, -0.047
9.577, 0.001, 182.374, 494.619, 9.784, 197.170, 520.000, 0.527, -0.047
9.763, 0.002, 190.026, 216.797, 9.982, 197.695, 530.000, 0.489, -0.048
9.953, 0.002, 190.026, 61.121, 10.180, 198.230, 540.000, 0.427, -0.048
10.142, 0.002, 187.476, -70.605, 10.378, 198.775, 550.000, 0.434, -0.048
10.331, 0.002, 190.026, -5.940, 10.577, 199.330, 560.000, 0.464, -0.048
10.520, 0.002, 187.476, 698.196, 10.777, 199.895, 570.000, 0.448, -0.048
10.704, 0.002, 181.099, 1313.716, 10.977, 200.470, 580.000, 0.479, -0.048
10.884, 0.002, 178.548, 1316.111, 11.178, 201.055, 590.000, 0.544, -0.049
11.064, 0.002, 182.374, 1208.335, 11.379, 201.650, 600.000, 0.576, -0.049
11.246, 0.002, 181.099, 691.011, 11.581, 202.255, 610.000, 0.550, -0.049
11.428, 0.002, 182.374, 487.434, 11.783, 202.870, 620.000, 0.570, -0.049
11.615, 0.003, 191.302, 255.117, 11.987, 203.495, 630.000, 0.567, -0.049
11.812, 0.003, 202.780, 68.306, 12.190, 204.130, 640.000, 0.496, -0.049
12.011, 0.003, 195.128, 171.292, 12.395, 204.775, 650.000, 0.400, -0.049
12.205, 0.003, 193.852, 212.007, 12.600, 205.430, 660.000, 0.477, -0.049
12.400, 0.003, 195.128, 817.947, 12.806, 206.095, 670.000, 0.497, -0.049
12.592, 0.003, 190.026, 1395.147, 13.012, 206.770, 680.000, 0.494, -0.049
12.778, 0.003, 182.374, 1701.709, 13.219, 207.455, 690.000, 0.548, -0.049
12.963, 0.004, 186.200, 1246.656, 13.427, 208.150, 700.000, 0.627, -0.049
13.153, 0.004, 195.128, 863.452, 13.636, 208.855, 710.000, 0.602, -0.049
13.350, 0.004, 197.678, 693.406, 13.845, 209.570, 720.000, 0.531, -0.049
13.549, 0.004, 200.229, 216.797, 14.055, 210.295, 730.000, 0.518, -0.049
13.753, 0.004, 209.156, -17.915, 14.265, 211.030, 740.000, 0.504, -0.049
13.960, 0.004, 204.055, -211.911, 14.477, 211.775, 750.000, 0.432, -0.049
14.164, 0.004, 204.055, -89.765, 14.689, 212.530, 760.000, 0.487, -0.048
14.367, 0.004, 201.504, 753.281, 14.902, 213.295, 770.000, 0.496, -0.048
14.566, 0.005, 197.678, 1225.100, 15.116, 214.070, 780.000, 0.529, -0.049
14.761, 0.005, 192.577, 1411.912, 15.330, 214.855, 790.000, 0.573, -0.049
14.956, 0.005, 196.403, 1239.471, 15.545, 215.650, 800.000, 0.629, -0.049
15.154, 0.005, 200.229, 621.555, 15.761, 216.455, 810.000, 0.606, -0.048
